salary_id,emp_id,date,basic_salary,bonus,insurance,professional_tax
1,1,01/02/2022,10000,5000,700,300
2,2,01/02/2022,12000,5000,500,400
3,3,01/02/2022,15000,2000,300,100
4,4,01/02/2022,5000,,,
5,5,01/02/2022,5000,,,
6,6,01/02/2022,15500,2000,,
7,7,01/02/2022,35500,2000,,
8,8,01/02/2022,45500,2000,200,
9,9,01/02/2022,25500,2000,200,
11,1,01/01/2022,15000,2000,200,
12,2,01/01/2022,11200,2000,200,
13,3,01/01/2022,7400,2000,200,
14,4,01/01/2022,3600,2000,200,
15,5,01/01/2022,8000,2000,,
16,1,01/12/2021,4000,2000,,
17,2,01/12/2021,7800,2000,,
